,name_match,feh_basis,err_feh,feh_single,err_feh_single,type,feh_lit,feh_high_res
0,x_ari,-2.4,0.09,-2.4,0.09,ab,-9999,-2.5516506282084874
1,rr_cet,-1.52,0.12,-1.52,0.12,ab,-9999,-1.6399395514366983
2,sv_eri,-2.04,0.07,-2.04,0.07,ab,-9999,-2.1786779149836644
3,rr_leo,-1.57,0.19,-1.57,0.19,ab,-9999,-1.691741317162368
4,tw_lyn,-1.23,0.25,-1.23,0.25,ab,-9999,-1.3394893102278131
5,rr_lyr,-1.37,0.08,-1.37,0.08,ab,-9999,-1.4845342542596889
6,v445_oph,-0.23,0.39,-0.23,0.39,ab,-9999,-0.3034539957144162
7,av_peg,-0.14,0.22,-0.14,0.22,ab,-9999,-0.21021081740821054
8,bh_peg,-1.38,0.21,-1.38,0.21,ab,-9999,-1.4948946074048226
9,ar_per,-0.43,0.13,-0.43,0.13,ab,-9999,-0.5106610586170957
10,tu_uma,-1.44,0.16,-1.44,0.16,ab,-9999,-1.5570567262756265
