,name_match,err_feh_basis,feh_basis,feh_high_res_mapped,err_feh_high_res_mapped,type
0,x_ari,0.09,-2.4,-2.5566114672816433,0.09971949069775977,ab
1,rr_cet,0.12,-1.52,-1.6412684423798922,0.12607013124982072,ab
2,sv_eri,0.07,-2.04,-2.1821529570945635,0.07748394131126038,ab
3,rr_leo,0.19,-1.57,-1.6932765687947644,0.19847816535815888,ab
4,tw_lyn,0.25,-1.23,-1.339621309173633,0.26052494948925065,ab
5,rr_lyr,0.08,-1.37,-1.4852440631352755,0.08480817893806862,ab
6,v445_oph,0.39,-0.23,-0.2994587808761887,0.4067598580308857,ab
7,av_peg,0.22,-0.14,-0.2058441533294187,0.2310385679962299,ab
8,bh_peg,0.21,-1.38,-1.4956456884182499,0.21905163526436797,ab
9,ar_per,0.13,-0.43,-0.5074912865356775,0.137630785810627,ab
10,tu_uma,0.16,-1.44,-1.5580554401160964,0.16728207076909685,ab
